"Impact";"Package";"Section";"Change"
1;"Cdms";"Axis";"Time dimension does not generate bounds automatically anymore – use cdms.setAutoBounds('on') -"
1;"Cdms";"Curvilinear grids";"CurveGrids can be supplied in the axis list."
1;"Cdms";"Curvilinear grids";"Added conversion routines: rect => curve => generic"
1;"Cdms";"Curvilinear grids";"MV works with curvilinear grids"
1;"Cdms";"Curvilinear grids";"Can read grids from scrip remap files"
1;"Cdms";"Curvilinear grids";"getMesh returns a transposed mesh grid if requested."
1;"Cdms";"Curvilinear grids";"On reading grids from files, check for cell convexity. Where that fails by default fix cells that straddle the 0 / 2pi boundary."
1;"Cdms";"Curvilinear grids";"Added routines to write grids to external files in scrip format"
1;"Cdms";"I/O";"Trapped seg faults on closed file objects."
1;"Cdms";;"Fixed memory leaks."
1;"Doc";"Tutorials";"New tutorials"
1;"Exsrc";"DODS";"Now builds by default under Linux, updated to Version 3.4"
1;"Vcdat";"DV";"A number reflecting selection/operation order appears next to selected variable"
1;"Vcdat";"DV";"Templates and Graphic Method Listbox available (on/off) in Variables and Calculator area"
1;"Vcdat";"Editors";"Template editor accessible from VCDAT (click and drag technology)"
1;"Vcdat";"Editors";"Graphic Method Editors updated, preview/reset option added"
1;"Vcdat";"General";"4 mode: 1-user defined layout; 2- Browse Variable; 3- Data Manipulation; 4- Graphics Display"
1;"Vcdat";"GUI";"Layout changed, now has mode for plot edititng, letting you copy/paste and edit existing template and method"
1;"Vcdat";"Plot";"Annotation pop-up available, with preview/reset/apply/cancel"
1;"Vcdat";"Plot";"Page Layout Table to control what is displayed on the VCS Canvas, can turn on/off plots with one click"
1;"Vcs";"Animations";" update to handle two or more on a page"
1;"Vcs";"Animations";"Can read from a file"
1;"Vcs";"Animations";"Can save to a file"
1;"Vcs";"Curvilinear grids";"Handled automatically"
1;"Vcs";"Projection";"Added gctp package to vcs, 28 new types of projection avalaible"
1;"Vcs";"Templates";"Template editor by clicking"
2;"Cdms";"I/O";"Added writeScripGrid, readScripGrid can read from a SCRIP mapping file"
2;"Cdms";"Libcdms";"Removed spurious calendar error"
2;"Cdms";"Time axis";"TransientAxis getCalendar returns DefaultCalendar if none specified. This is consistent with FileAxis.getCalendar()"
2;"Doc ";"Tutorials";"Data can now be anywhere on user's space"
2;"Genutil";"Arrayindexing";"New module, allows array indexing, e.g:C=genutil.arrayindexing.get(A,B)"
2;"Genutil";"Filters";"Added filters module, so far only “running average”, 121 and custom"
2;"Genutil";"Statistics";"fixed a bug in linear regression when trend is 0, probability are not set to missing"
2;"Install";"All";"Updated external Packages to their latest versions, see README files"
2;"Install";"CDAT";"Mac OS X “offically” supported"
2;"Install";"Cdms";"Fix CDMS build for FreeBSD"
2;"Install";"Cdms";"Added --cdms-only option to express_install."
2;"Install";"Exsrc";"Now can build indiviudal package or exclude some"
2;"Install";"Exsrc";"--list option added"
2;"Install";"Exsrc";"--help option in install_script "
2;"Vcdat";"0D (numbers)";"if no dimensions are present, then show the single vaule in the Defined Variables window"
2;"Vcdat";"1D plot";"Overlay applies, use page layout for other types"
2;"Vcdat";"DV";"Different mode of variable selection single/multiple"
2;"Vcdat";"GUI";"Remove the 1-Plot, 2-Plot, 3-Plot, 4-Plot per page"
2;"Vcdat";"I/O";"Simple binary file reader added"
2;"Vcdat";"I/O";"Can read column arranged ascii files"
2;"Vcdat";"I/O";"Save netcdf now has browser to go between directories"
